id,company,year_salary,low_year_salary,high_year_salary
1536,小蜜蜂园丁数字科技（上海）有限公司,180-300,180,300
1537,厦门极畅科技有限公司,180-360,180,360
1538,杭州托秘网络科技有限公司,300-336,300,336
1539,杭州每刻科技有限公司,180-300,180,300
1540,gongsi,240-360,240,360
1541,gongsi,180-300,180,300
1542,南京苏宁软件技术有限公司,144-252,144,252
1543,上海申雪供应链管理有限公司,195-325,195,325
1544,上海蜂雀网络科技有限公司,195-325,195,325
1545,空间跳跃（深圳）科技有限公司,260-390,260,390
1546,广东美物纪数字技术有限公司,180-300,180,300
1547,诗与远方（上海）文化创意有限公司,234-338,234,338
1548,杭州涂鸦信息技术有限公司,180-360,180,360
1549,链国工供应链（深圳）有限公司,240-300,240,300
1550,上海金抖云网络信息科技有限公司,180-360,180,360
1551,深圳市慧影科技有限公司,180-300,180,300
1552,广州红迅软件有限公司,156-286,156,286
1553,陕西中易拓为,132-264,132,264
1554,中泰信息技术（常州）有限公司,195-390,195,390
1555,迈动互联（北京）信息科技有限公司,180-300,180,300
1556,成都库珀恒安科技有限公司,156-312,156,312
1557,北京连接时代科技有限公司,144-288,144,288
1558,gongsi,180-300,180,300
1559,成都睿信天和科技有限公司,156-312,156,312
1560,杭州吉客印数据科技有限公司,195-390,195,390
1561,gongsi,180-300,180,300
1562,上海联寓智能科技有限公司,240-300,240,300
1563,福建金瑞信息技术有限公司,24-36,24,36
1564,北京淘金汇诚科技有限公司,24-48,24,48
1565,巴彦淖尔市精宜佳装饰有限公司,24-48,24,48
1566,肥城市酷比乐教育科技有限责任公司,24-36,24,36
1567,德阳市旌阳区博文教育培训学校,12-72,12,72
1568,桑植故事星空培训有限公司,24-48,24,48
1569,中寰通信,24-36,24,36
1570,锦州信百泰办公设备有限公司,24-72,24,72
1571,山东云慧教育信息咨询有限公司,24-60,24,60
1572,山西云曜科技有限公司,24-60,24,60
1573,山西青云志科技有限公司,24-36,24,36
1574,海南蓝点计算机网络工程有限公司,24-36,24,36
1575,重庆恒北智能科技有限公司,24-36,24,36
1576,浚县励志培训学校,24-60,24,60
1577,山西旷麟大药房连锁有限公司南广场店,24-48,24,48
1578,安徽载福智能科技有限公司,24-36,24,36
1579,山西灿森网络科技有限公司,24-60,24,60
1580,河北金叶网络科技有限公司,24-60,24,60
1581,内蒙古浩腾和润科技有限公司,12-24,12,24
1582,文水县鹏程启航教育科技发展有限公司,24-36,24,36
1583,吉林市华网通讯科技有限公司,24-60,24,60
1584,长春志恒教育咨询有限公司,24-48,24,48
1585,济南元科电子有限公司,24-48,24,48
1586,西安快邦云科信息技术有限公司,12-24,12,24
1587,湖南峻鑫智能科技有限公司,24-84,24,84
1588,松原市华玺财务服务有限公司,24-72,24,72
1589,陕西港青建筑工程有限公司,24-48,24,48
1590,广西上品荟企业管理有限公司,24-36,24,36
1591,内蒙古宇山电子科技有限公司,24-36,24,36
1592,广东诺其信息科技有限公司,26-52,26,52
1593,黄冈市茗府商贸有限公司,12-72,12,72
1594,安徽江北美图信息科技有限公司,24-72,24,72
1595,唐山市远卓技工学校有限公司,24-48,24,48
1596,黑龙江艾克森信息科技有限公司,26-52,26,52
1597,汝州市智学科技培训有限公司,24-84,24,84
1598,沈阳众睿教育咨询有限公司,24-36,24,36
1599,文杰视点（营口）网络科技有限公司,24-48,24,48
1600,朝阳市云飞职业培训学校,24-36,24,36
1601,内蒙古集正建筑工程有限公司,24-72,24,72
1602,陕西寰宇无人机科技有限公司,24-60,24,60
1603,亳州市谯城区启凡职业培训学校有限公司,24-48,24,48
1604,深圳市培林体育科技有限公司,24-36,24,36
1605,河津市瓦力机器人科技有限公司,24-48,24,48
1606,山西晋芯科技有限公司,28-42,28,42
1607,扬州市少码王教育科技有限公司,12-24,12,24
1608,潮州市方向传媒信息科技有限公司,26-52,26,52
1609,鸡西市瑞琪网络科技有限公司,24-36,24,36
1610,成都市万隆博雅文化传播有限公司,24-48,24,48
1611,临汾市至道科技有限公司,24-48,24,48
1612,武汉小循环软件有限公司,12-36,12,36
1613,大安市华誉农村电子商务有限责任公司,24-36,24,36
1614,西安理光现代办公设备有限责任公司,24-48,24,48
1615,山东贝叶斯信息科技有限公司,24-60,24,60
1616,亳州市万蓬教育科技有限公司,24-84,24,84
1617,银河伟业,24-48,24,48
1618,甘肃雨丰电子科技有限公司,24-60,24,60
1619,广东博晨财务咨询有限公司,24-48,24,48
1620,福建商强网络系统有限公司,24-36,24,36
1621,吉安市青原区大合电商中心,24-72,24,72
1622,知行良知实业股份有限公司,12-24,12,24
1623,隆化县麦迪森儿童娱乐中心,24-36,24,36
1624,桥西飞编客计算机技术咨询中心,24-48,24,48
1625,宁夏天选云电子服务有限公司,24-48,24,48
1626,合肥市八方通信有限公司,24-36,24,36
1627,青岛铭尚电子信息工程有限公司,24-84,24,84
1628,苏州上元经纬培训有限公司江都分公司,24-60,24,60
1629,润土教育,24-36,24,36
1630,潮州市蚯蚓文化传播有限公司,24-60,24,60
1631,中山菊城假期商旅发展有限公司,24-60,24,60
1632,商丘市编程侠科技有限公司,24-60,24,60
1633,咸阳中远电子有限公司,24-60,24,60
1634,赤峰佳智教育科技有限公司,24-48,24,48
1635,河北新航帆网络科技集团有限公司,24-84,24,84
1636,大路桥翻译财务,12-72,12,72
1637,内蒙古诚誉海天教育咨询有限责任公司,24-48,24,48
1638,高平市晋级文化传媒有限公司,24-36,24,36
1639,山西云之巽文化发展有限公司,24-36,24,36
1640,昌黎县博智儿童乐园,24-72,24,72
1641,四川沃尔夫斯商贸有限公司,24-72,24,72
1642,阅然纸上（辽宁省）文化传媒有限责任公司,24-72,24,72
1643,牡丹江奇云牛牲畜销售有限公司,24-36,24,36
1644,上海汇燊科技有限公司,24-48,24,48
1645,吉林市东元智能科技有限责任公司,24-60,24,60
1646,饶平县盛星设计工作室,12-24,12,24
1647,武汉静嘉企业管理咨询有限公司,24-48,24,48
1648,信阳建工质量检测有限公司,24-84,24,84
1649,盘锦市兴隆台区金管家网络科技中心,24-60,24,60
1650,黑龙江鑫格贸易有限公司,12-36,12,36
1651,杭州互互惠利网络科技有限公司,24-60,24,60
1652,赤峰市比茨商贸有限公司,24-60,24,60
1653,益阳家博装饰设计工程有限公司,24-60,24,60
1654,亳州市万蓬教育科技有限公司,24-84,24,84
1655,河北新航帆网络科技集团有限公司,24-84,24,84
1656,杭州菁业科技有限公司,24-36,24,36
1657,西安呀咪心教育科技有限公司,24-36,24,36
1658,江西狼道文化传媒有限公司,24-84,24,84
1659,衡阳众德智能科技有限公司,12-72,12,72
1660,吉林省硕华教育咨询有限公司,24-36,24,36
1661,普洱市思茅区苏鑫商贸有限公司,24-48,24,48
1662,黑龙江省速达信息产业股份有限公司,24-36,24,36
1663,徐州鲁环车业有限公司,24-36,24,36
1664,上海汇燊科技有限公司,24-48,24,48
1665,陕西方石网络科技有限公司,24-84,24,84
1666,安徽务正智控科技有限公司,24-60,24,60
1667,德宏州智威科技有限公司,24-60,24,60
1668,晋中星科科技发展有限公司,12-72,12,72
1669,山西世纪同兴科技股份有限公司,24-60,24,60
1670,辽宁造物科技有限公司,24-48,24,48
1671,山东海月龙宫商业管理有限公司,24-36,24,36
1672,铁岭市冰砬山森林资源开发有限责任公司,24-84,24,84
1673,河南优捷信息技术有限公司,24-36,24,36
1674,北京博通讯远通信工程有限公司,24-48,24,48
1675,天镇县洋河职业培训学校,24-36,24,36
1676,河南中规企业管理咨询有限公司,24-48,24,48
1677,广西南宁跃美商务有限公司,24-36,24,36
1678,海南亿兆网络科技有限公司,24-48,24,48
1679,太原易锦科技有限公司,24-36,24,36
1680,阜阳市颍东区优而仕课外培训学校有限公司,24-60,24,60
1681,江门市铂睿科技有限公司,24-60,24,60
1682,北京丽兹行房地产顾问有限公司,24-36,24,36
1683,四川冉东建设工程有限公司,24-60,24,60
1684,丹东天和实业有限公司,24-36,24,36
1685,精工口腔,24-36,24,36
1686,南充妍馨商贸有限公司,24-84,24,84
1687,杭州前方卫客电子技术有限公司,24-36,24,36
1688,秦皇岛市创业就业训练中心（秦皇岛市交通技工学校）,24-36,24,36
1689,山西佳维新材料股份有限公司,24-48,24,48
1690,南宁广学教育咨询有限公司,24-36,24,36
1691,武汉建优欣网科技有限公司,24-48,24,48
1692,滨州童言无忌教育科技有限公司,24-48,24,48
1693,吉林省好前程教育信息咨询有限公司,24-84,24,84
1694,长治市福喜商贸有限公司,24-36,24,36
1695,西平县华远职业培训学校,24-60,24,60
1696,张家口市宣化正力平衡机有限公司,24-36,24,36
1697,宝康医药,24-48,24,48
1698,安徽志坤企业管理集团有限公司,24-36,24,36
1699,安庆市宜秀区美声汽车音响经营部,12-72,12,72
1700,济源科能网络科技工作室,24-60,24,60
1701,陕西广电网络传媒（集团）股份有限公司留坝县支公司,24-48,24,48
1702,长春沃伦科技有限公司,24-48,24,48
1703,吉林省德宇文化传媒发展有限公司,24-48,24,48
1704,厦门蜂米信息科技有限公司,24-36,24,36
1705,河南涟漪传媒科技有限公司,12-24,12,24
1706,泉州传奇一品视觉创意有限公司,24-84,24,84
1707,河南鹏程翔餐饮服务有限公司,24-48,24,48
1708,山西和畅佳业信息科技有限公司,24-60,24,60
1709,河北拓日网络科技有限公司,24-84,24,84
1710,晋城市宏达实业有限公司,24-48,24,48
1711,山西天佑坤达燃气有限公司,24-36,24,36
1712,呼和浩特市蒙能科技有限责任公司,24-36,24,36
1713,临汾市丽乾科技有限公司,24-48,24,48
1714,山西菲达科技有限公司,24-72,24,72
1715,山西慧盾科技有限公司,24-60,24,60
1716,长治京汇科技有限公司,24-48,24,48
1717,淮南恩瑞文化艺术培训有限公司,24-60,24,60
1718,衡阳雷铄科技有限公司,24-84,24,84
1719,通辽市智尚网络科技有限责任公司,24-84,24,84
1720,河南维之科电子科技有限公司,24-48,24,48
1721,亳州爱尔眼科医院有限公司,24-60,24,60
1722,龙里县翼翔驾驶培训有限责任公司,24-48,24,48
1723,海南捷诚装饰工程有限公司,24-72,24,72
1724,长春市德丰中等职业学校,24-60,24,60
1725,呼和浩特市金科网信科技有限公司,12-24,12,24
1726,陕西君盟义达建筑工程有限公司,12-24,12,24
1727,西安文曦雅科技有限公司,24-36,24,36
1728,山西华峰科信有限责任公司,24-48,24,48
1729,北京云腾慧杰信息咨询有限公司,24-72,24,72
1730,锦州零度网络科技有限公司,24-48,24,48
1731,泸州元顺汽车服务有限公司,24-60,24,60
1732,酒泉一心科技有限公司,24-60,24,60
1733,唐河县杨梅职业培训学校,24-72,24,72
1734,连云港艾贝儿教育科技有限公司,24-60,24,60
1735,衡水安然网络科技有限公司,24-36,24,36
1736,安徽财信绩效信息咨询有限公司,24-48,24,48
1737,青岛中垠瑞丰国际贸易有限公司,24-48,24,48
1738,云南磊金科技有限公司,24-60,24,60
1739,鸿巨网络科技衡水有限公司,24-36,24,36
1740,邯郸市翰光学校,24-48,24,48
1741,五原县幸和商贸有限责任公司,24-36,24,36
1742,福建山水智业旅游发展有限公司,12-24,12,24
1743,祁县中望培训学校,24-84,24,84
1744,北京易企宣科技有限公司,12-24,12,24
1745,张掖市铭源电子商贸有限公司,24-48,24,48
1746,高平市东方之星书画艺术有限公司,24-36,24,36
1747,山西晋星潮文化科技有限公司,24-48,24,48
1748,内蒙古智慧星耀智能科技有限公司,24-36,24,36
1749,吕梁市亿申电子商务有限责任公司,24-60,24,60
1750,邯山区曜阳养老服务中心,24-36,24,36
1751,杭州卓信经济信息咨询有限公司,24-48,24,48
1752,新疆聚之家医药有限公司,12-24,12,24
1753,博彦科技承德有限公司,24-36,24,36
1754,山西闽通元信息科技有限公司,24-84,24,84
1755,南充市中斯教育咨询有限公司,24-36,24,36
1756,铁岭市派特麦卡锡教育培训中心有限公司,24-48,24,48
1757,云南锦尚禧婚庆企划有限公司,24-60,24,60
1758,山东金柳枝文化传媒有限公司,24-72,24,72
1759,长沙瀛洲潇湘文化发展有限公司,24-60,24,60
1760,河南财锐工程咨询服务有限公司,24-48,24,48
1761,江苏海猫智能货架制造有限公司,24-84,24,84
1762,大连克洛诺斯智能化工程有限公司,24-36,24,36
1763,河北宏力资产房地产估价有限公司,24-48,24,48
1764,邹平黄山倾城婚纱店,12-72,12,72
1765,丹东泓信医院,24-36,24,36
1766,新乡市雄风机械有限公司,24-48,24,48
1767,内蒙古格帆泽科技有限公司,12-48,12,48
1768,辽宁东仪自控技术股份有限公司,24-48,24,48
1769,吉林参草花科技产品有限公司,24-84,24,84
1770,五牧云仓（辽宁）生物科技有限公司,24-48,24,48
1771,安庆安馨综合门诊部有限公司,24-48,24,48
1772,大同市圣莲心医疗美容有限公司,24-60,24,60
1773,新北区月星艺立美苑装饰设计工作室,24-36,24,36
1774,山东葆春堂大药房连锁有限公司,24-60,24,60
1775,青天伟业仪器仪表有限公司,24-48,24,48
1776,唐山公路港物流有限公司,24-48,24,48
1777,内蒙古奇云网络技术有限公司,26-65,26,65
1778,西安德方电子科技有限公司,24-60,24,60
1779,漳州南新房地产代理有限公司,24-60,24,60
1780,内蒙古凯航信息技术有限责任公司,24-36,24,36
1781,河北东驰城市轨道交通设备有限公司,24-72,24,72
1782,邵阳圆宇创新电子科技有限公司,24-36,24,36
1783,邯郸市端鹏物流科技有限公司,24-60,24,60
1784,山东军创联企业发展有限公司,24-72,24,72
1785,辽宁泓澄网络科技有限公司,24-36,24,36
1786,仙桃市台北新娘婚纱摄影部,24-72,24,72
1787,唐山市丰润区云海广告有限公司,24-36,24,36
1788,三亚市游艇服务有限公司,12-36,12,36
1789,南宁市云贝电子科技有限责任公司,24-36,24,36
1790,四川泰世通科技有限公司,24-36,24,36
1791,北京中公教育科技有限公司青海分公司,24-60,24,60
1792,秦皇岛车友来汽车运动有限公司,24-36,24,36
1793,经开区湖小鲜餐厅,24-84,24,84
1794,忻州市华明汽车销售有限公司,24-60,24,60
1795,秦皇岛市北戴河渤海电子衡器有限公司,24-60,24,60
1796,青海宏心源企业管理有限公司,24-72,24,72
1797,南阳道酬信息技术有限公司,24-48,24,48
1798,邯郸市复兴区皮艾诺服装店,24-48,24,48
1799,四川水建建设工程有限公司,24-36,24,36
1800,陕西知行天晟网络科技有限公司,24-48,24,48
1801,内蒙古青澄信息咨询有限公司,24-36,24,36
1802,内蒙古拓凡网络科技有限公司,24-36,24,36
1803,贵州姓星禾网络科技有限公司,24-84,24,84
1804,卡卡佳佳文化传媒（海口）有限公司,24-84,24,84
1805,泊头市新天环保设备有限公司,24-36,24,36
1806,湾连湾资讯,12-72,12,72
1807,大连明佳科技发展有限公司,24-60,24,60
1808,凉山州鸿骏广告有限公司,24-36,24,36
1809,南通火速电子商务技术有限公司,24-72,24,72
1810,包头康正医院,24-48,24,48
1811,马鞍山钢城医院,24-84,24,84
1812,柳州市螺司令餐饮管理有限公司,24-48,24,48
1813,雷鸣（辽宁）教育咨询有限公司,24-72,24,72
1814,鞍山市铁东区仁医堂名医馆大药房,24-72,24,72
1815,广西报喜鸟商贸有限公司,24-36,24,36
1816,北京工信研拓技术转移有限公司,24-36,24,36
1817,海口美兰浩选优品百货商行,24-36,24,36
1818,深圳满园环境科技有限公司,24-36,24,36
1819,南宁领创网络科技有限公司,12-24,12,24
1820,山东文远环保科技股份有限公司,24-36,24,36
1821,三门峡四季丰果蔬有限公司,24-48,24,48
1822,青岛萱通工贸有限公司,12-24,12,24
1823,北海市海城区对先生婚纱礼服店,12-24,12,24
1824,邵阳市大祥区乐之音教育科技有限公司,24-48,24,48
1825,烟台金壹嘉装饰工程有限公司,24-36,24,36
1826,辽宁卓瑞教育科技集团有限公司,12-48,12,48
1827,湖州横达建设工程有限公司,12-72,12,72
1828,长沙滕励文化传媒有限公司,36-72,36,72
1829,崇左数字城市科技发展有限公司,36-48,36,48
1830,福建美亚爱见康健康管理有限公司,36-60,36,60
1831,西安百腾云信息科技有限公司,48-60,48,60
1832,黑龙江赛安信息技术服务有限公司,39-91,39,91
1833,濮阳市卓凡电子科技有限公司,36-48,36,48
1834,梧州市网维科技有限公司,24-48,24,48
1835,淮南皖淮科技有限公司,36-48,36,48
1836,北京三快在线科技有限公司,52-78,52,78
1837,温州市大荣纺织仪器有限公司,48-96,48,96
1838,汕头市中博职业技术学校,36-72,36,72
1839,东阳市曦安信息技术有限公司,36-48,36,48
1840,深圳市炫之风文化创意有限公司,36-60,36,60
1841,重庆正柱电子工程有限公司,39-65,39,65
1842,泰盈科技集团股份有限公司,48-96,48,96
1843,邯郸市百思互联网信息服务有限公司,48-60,48,60
1844,郑州中胜经贸有限公司,48-72,48,72
1845,洛阳万茗堂电子商务有限公司,36-48,36,48
1846,河北博之昊网络技术有限公司,52-104,52,104
1847,保定万维科技技工学校,36-48,36,48
1848,广东经纶信息咨询有限公司,52-65,52,65
1849,深圳市启博网络有限公司,36-48,36,48
1850,南京师与学教育科技有限责任公司,48-60,48,60
1851,广西自贸区雷森信息科技有限公司,48-60,48,60
1852,甘肃晶日广告印刷有限公司,48-60,48,60
1853,潍坊金联益康安全管理咨询有限公司,36-72,36,72
1854,泉州城市工程技术学校,48-72,48,72
1855,浙江一悦科技有限公司,52-78,52,78
1856,淄博商厦有限责任公司,36-48,36,48
1857,长治市潞城区北方智扬教育科技有限公司,36-60,36,60
1858,山西康镁技工学校,36-60,36,60
1859,合肥东数网络工程有限公司,48-96,48,96
1860,中高后勤服务（云南）有限公司,36-48,36,48
1861,澧县城头山中等职业学校,36-60,36,60
1862,东营万济中医医院,36-48,36,48
1863,郑州经济技术开发区天齐烟酒店,48-72,48,72
1864,山西安顺达应急管理技术服务有限公司,36-60,36,60
1865,宁夏佰信达网络科技有限公司,52-117,52,117
1866,东莞市铭丰企业会计代理有限公司,48-96,48,96
1867,烟台市利佳数码科技有限公司,48-84,48,84
1868,巴彦淖尔市精宜佳装饰有限公司,24-48,24,48
1869,运城市金梦职业技能培训学校,36-48,36,48
1870,南京科宇德信息科技有限公司,48-60,48,60
1871,济南山业教育科技发展有限公司,48-108,48,108
1872,茂名市天晟文化传播有限公司,48-72,48,72
1873,江苏全欧智能网络科技有限公司,48-96,48,96
1874,盘锦文荣教育管理有限公司,36-48,36,48
1875,成都博瑞天晨科技发展有限公司,36-96,36,96
1876,贵州天之源环保科技发展有限公司,48-72,48,72
1877,新疆金世康药业有限公司,48-72,48,72
1878,新希蓝（山东）教育科技有限公司,48-72,48,72
1879,长春市晟襄信息技术有限公司,48-60,48,60
1880,长治市胜达科技有限公司,36-60,36,60
1881,山西新时代技工学校1,36-48,36,48
1882,保山巨东信息科技有限公司,36-72,36,72
1883,连云港市新华技工学校,36-72,36,72
1884,青岛康顿健康产业有限公司,48-108,48,108
1885,安徽六维时空数字科技有限公司,36-48,36,48
1886,内蒙古天泰电力工程有限责任公司,48-108,48,108
1887,乌鲁木齐汇英宏途电子商务咨询有限公司,36-72,36,72
1888,聊城市博航文化传播有限公司,48-84,48,84
1889,重庆恒北智能科技有限公司,36-60,36,60
1890,汕头市穆维达陶瓷有限公司,52-78,52,78
1891,亿博控股集团有限公司,36-72,36,72
1892,山东蓝客信息科技有限公司,36-48,36,48
1893,汕尾市合禧宜佳房产经纪服务有限公司,36-84,36,84
1894,景福教育,48-72,48,72
1895,广东锐讯科技有限公司,48-84,48,84
1896,常州九诚科技有限公司,48-108,48,108
1897,云南邦讯电子信息技术服务有限公司,36-48,36,48
1898,内蒙古正鹏电子工程有限公司,24-84,24,84
1899,新疆金善奇智能科技有限公司,48-72,48,72
1900,四川博全科技有限公司,36-72,36,72
1901,安徽达尔智能控制系统股份有限公司,52-78,52,78
1902,山东富通信息科技有限公司,36-72,36,72
1903,连云港万众房产经纪有限公司,48-60,48,60
1904,内蒙古鑫辉信息技术有限责任公司,36-72,36,72
1905,甘肃科跃电子科技有限公司,48-60,48,60
1906,淄博赛博网络科技有限公司,48-72,48,72
1907,赣州市巴曼信息科技有限公司,36-60,36,60
1908,河北优祺美医疗器械贸易有限公司,48-60,48,60
1909,山东新德瑞科技有限公司,36-84,36,84
1910,乐嘉山姆（吉林）商业投资有限公司,36-60,36,60
1911,福鼎市阳光培训中心,36-48,36,48
1912,山东百佳威智能科技有限公司,48-72,48,72
1913,福建交通在线信息科技有限公司,52-104,52,104
1914,山西旷麟大药房连锁有限公司南广场店,24-48,24,48
1915,河北容佳电子科技有限公司,48-60,48,60
1916,威海天沐温泉度假有限公司,36-60,36,60
1917,广州粤千里传媒有限公司,36-60,36,60
1918,邢台民生医药连锁有限公司,36-48,36,48
1919,成都立信笨鸟网络科技有限公司,48-72,48,72
1920,赣州市巴曼信息科技有限公司,36-60,36,60
1921,山东富通信息科技有限公司,36-72,36,72
1922,山东朗科信息技术有限公司,36-48,36,48
1923,梧州时尚百盛商业管理有限公司,36-48,36,48
1924,汕头市永涵电子科技有限公司,52-78,52,78
1925,滨州视听电子有限公司,36-60,36,60
1926,陇川县人民医院,36-60,36,60
1927,山东一零教育科技有限公司,48-60,48,60
1928,山西艺源产教融合科技发展有限公司,48-72,48,72
1929,济南高新区通途教育培训学校,36-48,36,48
1930,太原聚汇学科技有限公司,36-48,36,48
1931,重庆大千医药有限公司,36-72,36,72
1932,重庆莱美药业股份有限公司,48-60,48,60
1933,濮阳市辉腾网络科技有限公司,36-60,36,60
1934,包头市金澜网络科技有限公司,48-72,48,72
1935,成都翔科博海科技有限公司,48-72,48,72
1936,邢台诺欧机械制造有限公司,36-48,36,48
1937,广东智信信息科技股份有限公司,36-60,36,60
1938,江门市先达电脑科技有限公司,39-52,39,52
1939,中科政银科技河北有限公司,36-48,36,48
1940,广西立创投资集团有限公司,36-48,36,48
1941,山东惠恩医疗器械有限公司,48-96,48,96
1942,徐州壹佳科技有限公司,36-48,36,48
1943,重庆梦之晨科技发展有限公司,36-72,36,72
1944,滨州经济开发区宝贝盟育儿服务中心,36-96,36,96
1945,河北德诚电子科技有限公司,48-72,48,72
1946,滕州市妙思教育培训学校有限公司,36-96,36,96
1947,黑龙江省开放联航教育科技有限公司,48-60,48,60
1948,济南佳音信息科技有限公司,48-72,48,72
1949,珠海市易网信息科技有限公司,48-84,48,84
1950,山东蒲公英科教设备有限公司,48-72,48,72
1951,镇江汉唐电子有限公司,36-72,36,72
1952,上海颐盛商贸有限公司合肥分公司,36-48,36,48
1953,成电启力科技有限公司,48-60,48,60
1954,合肥爱尔特信息科技有限公司,48-96,48,96
1955,皖江职教,48-60,48,60
1956,宜宾至强信息技术有限公司,52-117,52,117
1957,哈尔滨市捷利网络信息系统有限公司,36-60,36,60
1958,大路桥翻译财务,12-72,12,72
1959,成都锐申信息技术有限公司,52-104,52,104
1960,德宏州智威科技有限公司,24-60,24,60
1961,国药控股襄阳有限公司,36-60,36,60
1962,漱玉平民大药房连锁股份有限公司,36-60,36,60
1963,赤峰市比茨商贸有限公司,24-60,24,60
1964,长春新天和网络工程有限责任公司,36-48,36,48
1965,河北佰迪医疗器械贸易有限公司,36-48,36,48
1966,安徽蓬翌信息科技有限公司,48-96,48,96
1967,青岛鑫万通自动化设备有限公司,48-60,48,60
1968,山东良乔环保科技集团有限公司,48-72,48,72
1969,北京数盾信息科技有限公司,48-108,48,108
1970,潍坊腾博信息技术有限公司,48-72,48,72
1971,沈阳和硕科技有限公司,36-72,36,72
1972,新疆天蕴有机农业有限公司,48-72,48,72
1973,长沙市岳麓区诚稳计算机经营部,48-96,48,96
1974,中科（山东）信息技术有限公司,48-60,48,60
1975,孝感红人中等职业学校,48-108,48,108
1976,山东铂润电气科技有限公司,48-72,48,72
1977,河南昊琦科技有限公司,48-72,48,72
1978,山西凌志伟业科技有限公司,36-96,36,96
1979,上海游讯信息科技有限公司,48-72,48,72
1980,内蒙古精诚电子科技有限责任公司,48-72,48,72
1981,海口先点网络科技有限公司,36-60,36,60
1982,河南芬凡信息技术有限公司,36-48,36,48
1983,辽宁傲通新业信息技术有限公司,48-72,48,72
1984,郴州市苏仙区科泰教育培训学校有限公司,36-60,36,60
1985,润信网络科技（沈阳）有限公司,36-60,36,60
1986,陕西咸阳百姓乐大药房连锁有限公司,36-48,36,48
1987,安徽微必应信息科技有限公司,52-78,52,78
1988,湖南潇湘信科技工学校有限公司,48-84,48,84
1989,宝鸡思博电子信息有限公司,36-60,36,60
1990,山西闽通元信息科技有限公司,24-84,24,84
1991,西藏慧软智能科技有限公司,48-96,48,96
1992,云南光涛商贸有限公司,36-60,36,60
1993,淮南市讯网信息技术有限公司,36-72,36,72
1994,福建顺昌和兴实业有限公司,36-72,36,72
1995,吕梁市亿申电子商务有限责任公司,24-60,24,60
1996,陕西中科启航科技有限公司,48-72,48,72
1997,新疆德胜宏业信息技术有限公司,48-108,48,108
1998,云南景成集团有限公司,48-72,48,72
1999,武汉惟楚新未来科技有限公司,48-84,48,84
2000,中康华夏医养健康产业（济宁）有限公司,48-60,48,60
2001,宁夏吉虎科技有限公司,36-72,36,72
2002,天津博雅家具有限公司,48-84,48,84
2003,潍坊市潍职机动车驾驶员培训有限公司,36-60,36,60
2004,武汉惟楚新未来科技有限公司,48-84,48,84
2005,惠州市瑞康医药有限公司,36-60,36,60
2006,天津博雅家具有限公司,48-84,48,84
2007,呼和浩特市大世界商贸有限公司,36-60,36,60
2008,宁夏吉虎科技有限公司,36-72,36,72
2009,云南东华软件科技有限公司,48-60,48,60
2010,新密港华燃气有限公司,48-84,48,84
2011,浙江天喜厨电股份有限公司,36-72,36,72
2012,河北尚学教育科技有限公司,36-60,36,60
2013,山东华珑海青教育科技有限公司,48-60,48,60
2014,湖北小黑课堂教育科技有限公司,48-72,48,72
2015,青岛海洋电子工程有限公司,48-96,48,96
2016,山西转型综改示范区晋中开发区信思智学职业技能培训学校有限公司,48-72,48,72
2017,安徽广海网络科技发展有限公司,36-60,36,60
2018,山东葆春堂大药房连锁有限公司,36-60,36,60
2019,山东初尧信息技术有限公司,36-60,36,60
2020,河北雄安福吉通物联网科技有限公司,36-96,36,96
2021,吉林省翰玥商贸有限公司,36-48,36,48
2022,贵州凯迪森新能源材料有限公司,48-72,48,72
2023,衢州通友信息科技有限公司,48-72,48,72
2024,安徽微尔智能科技有限公司,36-72,36,72
2025,鞍山云智物联网络电子科技开发有限公司,48-96,48,96
2026,济南南山信息技术有限公司,48-72,48,72
2027,青岛数码港通信服务有限公司,39-65,39,65
2028,河北普为信息技术有限公司,36-72,36,72
2029,浙江德宁医药有限公司,48-60,48,60
2030,山东鑫煤矿山设备集团有限公司,36-72,36,72
2031,山西稼禾农业科技有限公司,36-72,36,72
2032,广州拓服信息技术有限公司,48-72,48,72
2033,海南卓航智能科技有限公司,48-60,48,60
2034,山西晋信安科技有限公司,36-96,36,96
2035,山西龙悦智能科技有限公司,36-48,36,48
2036,河北大成新材料有限公司,48-60,48,60
2037,北京中公教育科技有限公司铜仁分公司,48-72,48,72
2038,山东昌脉信息科技集团有限公司,48-84,48,84
2039,潍坊众客隆商业发展有限公司,48-60,48,60
2040,河北智选优品科技有限公司,36-60,36,60
2041,山西掌沃信息科技有限公司,36-72,36,72
2042,广西风驰旧机动车交易市场有限公司,48-60,48,60
2043,吉林省德宇文化传媒发展有限公司,24-48,24,48
2044,广东华威科智能技术有限公司,52-117,52,117
2045,浙江世导裕新网络科技有限公司,48-72,48,72
2046,河北耀晟进出口贸易有限公司,48-108,48,108
2047,湖南华显计算机有限公司,36-72,36,72
2048,江苏华电能创科技有限公司,48-60,48,60
2049,南京康贝达科技有限公司,48-108,48,108
2050,江苏博华瑞信息技术有限公司,48-96,48,96
2051,银川普惠综合门诊部（有限公司）,36-48,36,48
2052,浙江大华技术股份有限公司,36-48,36,48
2053,陕西泽润建设项目管理有限公司,48-60,48,60
2054,大连雷科曼电子有限公司,48-72,48,72
2055,山西富猫法律咨询有限公司,48-84,48,84
2056,河北润特橡塑制品有限公司,48-60,48,60
